timestamp,vibration_mms,temperature_c,rpm
2026-09-20 13:59:53.747986,0.525,67.8,1743.2
2026-09-20 13:59:54.747986,0.493,66.85,1748.6
2026-09-20 13:59:55.747986,0.532,65.12,1742.1
2026-09-20 13:59:56.747986,0.576,63.71,1746.9
2026-09-20 13:59:57.747986,0.488,66.4,1731.1
2026-09-20 13:59:58.747986,0.488,65.79,1752.1
2026-09-20 13:59:59.747986,0.579,66.79,1750.0
2026-09-20 14:00:00.747986,0.538,66.27,1741.8
2026-09-20 14:00:01.747986,0.477,67.1,1756.6
2026-09-20 14:00:02.747986,0.527,63.93,1759.4
2026-09-20 14:00:03.747986,0.477,67.63,1733.9
2026-09-20 14:00:04.747986,0.477,65.4,1742.4
2026-09-20 14:00:05.747986,0.512,69.15,1742.3
2026-09-20 14:00:06.747986,0.404,63.62,1740.6
2026-09-20 14:00:07.747986,0.414,68.47,1758.3
2026-09-20 14:00:08.747986,0.472,65.4,1748.1
2026-09-20 14:00:09.747986,0.449,63.7,1747.4
2026-09-20 14:00:10.747986,0.516,64.03,1730.0
2026-09-20 14:00:11.747986,0.455,64.36,1756.4
2026-09-20 14:00:12.747986,0.429,65.85,1737.6
2026-09-20 14:00:13.747986,0.573,66.05,1750.6
2026-09-20 14:00:14.747986,0.489,63.85,1752.8
2026-09-20 14:00:15.747986,0.503,64.95,1763.6
2026-09-20 14:00:16.747986,0.429,69.28,1736.9
2026-09-20 14:00:17.747986,0.473,68.46,1719.8
2026-09-20 14:00:18.747986,0.506,65.87,1751.8
2026-09-20 14:00:19.747986,0.442,65.08,1768.0
2026-09-20 14:00:20.747986,0.519,65.24,1762.4
2026-09-20 14:00:21.747986,0.47,66.23,1752.1
2026-09-20 14:00:22.747986,0.485,62.95,1745.1
2026-09-20 14:00:23.747986,0.47,64.49,1758.1
2026-09-20 14:00:24.747986,0.593,61.66,1740.3
2026-09-20 14:00:25.747986,0.499,65.8,1754.8
2026-09-20 14:00:26.747986,0.447,66.29,1755.1
2026-09-20 14:00:27.747986,0.541,64.03,1760.6
2026-09-20 14:00:28.747986,0.439,68.15,1777.6
2026-09-20 14:00:29.747986,0.51,62.55,1753.9
2026-09-20 14:00:30.747986,0.402,62.07,1744.9
2026-09-20 14:00:31.747986,0.434,65.45,1749.7
2026-09-20 14:00:32.747986,0.51,67.09,1732.3
2026-09-20 14:00:33.747986,0.537,68.37,1743.1
2026-09-20 14:00:34.747986,0.509,64.08,1745.9
2026-09-20 14:00:35.747986,0.494,67.16,1744.8
2026-09-20 14:00:36.747986,0.485,64.92,1751.5
2026-09-20 14:00:37.747986,0.426,64.65,1741.8
2026-09-20 14:00:38.747986,0.464,66.77,1761.2
2026-09-20 14:00:39.747986,0.477,66.3,1750.0
2026-09-20 14:00:40.747986,0.553,61.85,1749.9
2026-09-20 14:00:41.747986,0.517,67.95,1746.7
2026-09-20 14:00:42.747986,0.412,67.76,1751.6
2026-09-20 14:00:43.747986,0.516,63.75,1758.3
2026-09-20 14:00:44.747986,0.481,65.79,1741.3
2026-09-20 14:00:45.747986,0.466,65.99,1743.4
2026-09-20 14:00:46.747986,0.531,65.52,1747.0
2026-09-20 14:00:47.747986,0.552,63.9,1736.5
2026-09-20 14:00:48.747986,0.547,63.66,1741.8
2026-09-20 14:00:49.747986,0.458,64.95,1745.2
2026-09-20 14:00:50.747986,0.485,67.35,1758.7
2026-09-20 14:00:51.747986,0.517,66.09,1752.6
2026-09-20 14:00:52.747986,0.549,64.26,1751.9
2026-09-20 14:00:53.747986,0.476,66.54,1758.5
2026-09-20 14:00:54.747986,0.491,59.3,1748.6
2026-09-20 14:00:55.747986,0.445,67.3,1753.9
2026-09-20 14:00:56.747986,0.44,61.52,1749.0
2026-09-20 14:00:57.747986,0.541,64.28,1752.7
2026-09-20 14:00:58.747986,0.568,62.76,1744.2
2026-09-20 14:00:59.747986,0.496,62.41,1725.6
2026-09-20 14:01:00.747986,0.55,67.32,1748.7
2026-09-20 14:01:01.747986,0.518,64.06,1764.2
2026-09-20 14:01:02.747986,0.468,65.69,1759.3
2026-09-20 14:01:03.747986,0.518,64.91,1759.7
2026-09-20 14:01:04.747986,0.577,65.95,1762.4
2026-09-20 14:01:05.747986,0.498,65.15,1750.9
2026-09-20 14:01:06.747986,0.578,62.43,1752.0
2026-09-20 14:01:07.747986,0.369,66.99,1743.8
2026-09-20 14:01:08.747986,0.541,64.01,1746.8
2026-09-20 14:01:09.747986,0.504,61.89,1756.2
2026-09-20 14:01:10.747986,0.485,64.14,1762.0
2026-09-20 14:01:11.747986,0.505,68.0,1748.6
2026-09-20 14:01:12.747986,0.401,66.7,1745.5
2026-09-20 14:01:13.747986,0.489,64.3,1750.0
2026-09-20 14:01:14.747986,0.518,64.3,1756.0
2026-09-20 14:01:15.747986,0.574,64.36,1735.6
2026-09-20 14:01:16.747986,0.474,69.15,1727.0
2026-09-20 14:01:17.747986,0.46,65.76,1744.5
2026-09-20 14:01:18.747986,0.475,65.86,1737.8
2026-09-20 14:01:19.747986,0.546,67.06,1744.9
2026-09-20 14:01:20.747986,0.516,65.48,1748.5
2026-09-20 14:01:21.747986,0.474,64.48,1745.5
2026-09-20 14:01:22.747986,0.526,64.61,1764.5
2026-09-20 14:01:23.747986,0.505,64.86,1753.3
2026-09-20 14:01:24.747986,0.548,64.93,1753.0
2026-09-20 14:01:25.747986,0.465,66.46,1756.2
2026-09-20 14:01:26.747986,0.484,65.1,1738.6
2026-09-20 14:01:27.747986,0.48,66.47,1760.4
2026-09-20 14:01:28.747986,0.427,64.84,1749.2
2026-09-20 14:01:29.747986,0.515,65.16,1756.7
2026-09-20 14:01:30.747986,0.513,61.0,1739.3
2026-09-20 14:01:31.747986,0.5,66.83,1734.5
2026-09-20 14:01:32.747986,0.488,65.69,1758.2
2026-09-20 14:01:33.747986,0.429,67.0,1753.8
2026-09-20 14:01:34.747986,0.479,59.21,1741.0
2026-09-20 14:01:35.747986,0.483,69.18,1741.3
2026-09-20 14:01:36.747986,0.46,64.72,1761.3
2026-09-20 14:01:37.747986,0.492,67.22,1738.1
2026-09-20 14:01:38.747986,0.52,62.92,1766.4
2026-09-20 14:01:39.747986,0.594,66.23,1741.0
2026-09-20 14:01:40.747986,0.509,62.89,1756.4
2026-09-20 14:01:41.747986,0.513,63.75,1746.7
2026-09-20 14:01:42.747986,0.496,68.83,1756.0
2026-09-20 14:01:43.747986,0.404,64.62,1744.6
2026-09-20 14:01:44.747986,0.499,65.43,1748.4
2026-09-20 14:01:45.747986,0.503,66.74,1750.4
2026-09-20 14:01:46.747986,0.623,65.99,1740.0
2026-09-20 14:01:47.747986,0.49,65.3,1757.4
2026-09-20 14:01:48.747986,0.515,65.73,1744.9
2026-09-20 14:01:49.747986,0.498,69.81,1747.7
2026-09-20 14:01:50.747986,0.442,64.88,1740.1
2026-09-20 14:01:51.747986,0.557,65.4,1724.4
2026-09-20 14:01:52.747986,0.538,67.1,1748.1
2026-09-20 14:01:53.747986,0.54,67.21,1774.1
2026-09-20 14:01:54.747986,0.455,67.37,1757.8
2026-09-20 14:01:55.747986,0.57,66.28,1749.8
2026-09-20 14:01:56.747986,0.43,62.71,1747.4
2026-09-20 14:01:57.747986,0.529,68.27,1750.2
2026-09-20 14:01:58.747986,0.61,62.71,1755.5
2026-09-20 14:01:59.747986,0.45,65.61,1738.2
2026-09-20 14:02:00.747986,0.472,63.49,1761.1
2026-09-20 14:02:01.747986,0.505,64.87,1757.2
2026-09-20 14:02:02.747986,0.475,65.66,1757.2
2026-09-20 14:02:03.747986,0.422,65.64,1754.4
2026-09-20 14:02:04.747986,0.503,65.84,1750.2
2026-09-20 14:02:05.747986,0.447,68.23,1756.7
2026-09-20 14:02:06.747986,0.524,65.91,1755.9
2026-09-20 14:02:07.747986,0.454,64.51,1746.5
2026-09-20 14:02:08.747986,0.577,66.93,1744.3
2026-09-20 14:02:09.747986,0.461,67.38,1751.0
2026-09-20 14:02:10.747986,0.484,62.54,1765.5
2026-09-20 14:02:11.747986,0.541,66.19,1737.6
2026-09-20 14:02:12.747986,0.438,66.4,1735.3
2026-09-20 14:02:13.747986,0.511,64.4,1751.6
2026-09-20 14:02:14.747986,0.565,67.75,1750.5
2026-09-20 14:02:15.747986,0.42,64.7,1751.7
2026-09-20 14:02:16.747986,0.509,65.25,1752.4
2026-09-20 14:02:17.747986,0.513,64.65,1747.8
2026-09-20 14:02:18.747986,0.539,65.03,1764.9
2026-09-20 14:02:19.747986,0.438,62.81,1734.0
2026-09-20 14:02:20.747986,0.434,62.12,1741.7
2026-09-20 14:02:21.747986,0.526,68.19,1749.0
2026-09-20 14:02:22.747986,0.515,63.31,1733.6
2026-09-20 14:02:23.747986,0.513,63.02,1748.2
2026-09-20 14:02:24.747986,0.517,60.69,1766.6
2026-09-20 14:02:25.747986,0.466,63.72,1750.2
2026-09-20 14:02:26.747986,0.512,62.35,1752.3
2026-09-20 14:02:27.747986,0.515,68.28,1737.4
2026-09-20 14:02:28.747986,0.464,67.02,1743.8
2026-09-20 14:02:29.747986,0.593,63.62,1746.2
2026-09-20 14:02:30.747986,0.524,69.5,1746.8
2026-09-20 14:02:31.747986,0.44,66.96,1762.8
2026-09-20 14:02:32.747986,0.533,64.35,1755.6
2026-09-20 14:02:33.747986,0.451,60.0,1738.9
2026-09-20 14:02:34.747986,0.539,69.58,1752.5
2026-09-20 14:02:35.747986,0.558,62.22,1755.0
2026-09-20 14:02:36.747986,0.459,61.71,1761.4
2026-09-20 14:02:37.747986,0.548,67.05,1765.8
2026-09-20 14:02:38.747986,0.521,69.88,1739.8
2026-09-20 14:02:39.747986,0.541,67.77,1741.9
2026-09-20 14:02:40.747986,0.595,66.13,1737.4
2026-09-20 14:02:41.747986,0.488,66.19,1747.7
2026-09-20 14:02:42.747986,0.462,66.71,1754.7
2026-09-20 14:02:43.747986,0.456,66.52,1759.9
2026-09-20 14:02:44.747986,0.459,65.56,1749.2
2026-09-20 14:02:45.747986,0.496,65.21,1746.8
2026-09-20 14:02:46.747986,0.517,64.87,1751.5
2026-09-20 14:02:47.747986,0.514,63.49,1741.6
2026-09-20 14:02:48.747986,0.541,64.44,1770.9
2026-09-20 14:02:49.747986,0.501,61.61,1733.9
2026-09-20 14:02:50.747986,0.573,64.8,1751.8
2026-09-20 14:02:51.747986,0.487,63.02,1770.2
2026-09-20 14:02:52.747986,0.636,62.79,1750.1
2026-09-20 14:02:53.747986,0.531,65.36,1748.1
2026-09-20 14:02:54.747986,0.457,67.78,1746.4
2026-09-20 14:02:55.747986,0.446,66.84,1748.2
2026-09-20 14:02:56.747986,0.524,61.86,1763.7
2026-09-20 14:02:57.747986,0.489,63.02,1727.9
2026-09-20 14:02:58.747986,0.536,66.88,1765.3
2026-09-20 14:02:59.747986,0.524,63.04,1735.8
2026-09-20 14:03:00.747986,0.496,64.55,1747.3
2026-09-20 14:03:01.747986,0.458,66.1,1745.7
2026-09-20 14:03:02.747986,0.424,63.06,1755.9
2026-09-20 14:03:03.747986,0.478,65.21,1734.0
2026-09-20 14:03:04.747986,0.543,62.33,1754.6
2026-09-20 14:03:05.747986,0.511,63.8,1770.2
2026-09-20 14:03:06.747986,0.438,65.64,1736.4
2026-09-20 14:03:07.747986,0.509,61.81,1751.9
2026-09-20 14:03:08.747986,0.519,65.88,1743.4
2026-09-20 14:03:09.747986,0.456,64.96,1754.3
2026-09-20 14:03:10.747986,0.508,66.1,1750.2
2026-09-20 14:03:11.747986,0.503,65.45,1743.6
2026-09-20 14:03:12.747986,0.443,67.73,1754.9
2026-09-20 14:03:13.747986,0.518,65.25,1768.0
2026-09-20 14:03:14.747986,0.528,64.14,1748.1
2026-09-20 14:03:15.747986,0.554,65.24,1757.2
2026-09-20 14:03:16.747986,0.553,66.09,1737.1
2026-09-20 14:03:17.747986,0.431,65.1,1740.4
2026-09-20 14:03:18.747986,0.453,65.08,1754.7
2026-09-20 14:03:19.747986,0.526,63.6,1764.8
2026-09-20 14:03:20.747986,0.526,63.67,1753.6
2026-09-20 14:03:21.747986,0.526,62.19,1746.9
2026-09-20 14:03:22.747986,0.693,68.5,1750.0
2026-09-20 14:03:23.747986,0.529,62.51,1737.5
2026-09-20 14:03:24.747986,0.557,63.61,1756.0
2026-09-20 14:03:25.747986,0.548,63.56,1758.8
2026-09-20 14:03:26.747986,0.533,66.79,1745.5
2026-09-20 14:03:27.747986,0.484,64.41,1745.3
2026-09-20 14:03:28.747986,0.538,67.5,1752.7
2026-09-20 14:03:29.747986,0.461,63.65,1745.6
2026-09-20 14:03:30.747986,0.488,65.56,1749.3
2026-09-20 14:03:31.747986,0.476,63.33,1771.0
2026-09-20 14:03:32.747986,0.504,69.29,1747.5
2026-09-20 14:03:33.747986,0.616,62.62,1746.4
2026-09-20 14:03:34.747986,0.407,65.62,1743.5
2026-09-20 14:03:35.747986,0.534,66.27,1757.4
2026-09-20 14:03:36.747986,0.419,65.83,1748.2
2026-09-20 14:03:37.747986,0.476,64.63,1743.5
2026-09-20 14:03:38.747986,0.554,64.74,1763.2
2026-09-20 14:03:39.747986,0.503,65.09,1764.2
2026-09-20 14:03:40.747986,0.446,64.71,1744.0
2026-09-20 14:03:41.747986,0.464,66.93,1731.3
2026-09-20 14:03:42.747986,0.534,69.42,1760.1
2026-09-20 14:03:43.747986,0.463,63.89,1743.2
2026-09-20 14:03:44.747986,0.511,62.26,1757.9
2026-09-20 14:03:45.747986,0.502,64.82,1730.3
2026-09-20 14:03:46.747986,0.467,70.16,1758.9
2026-09-20 14:03:47.747986,0.607,63.39,1737.9
2026-09-20 14:03:48.747986,0.532,68.28,1757.3
2026-09-20 14:03:49.747986,0.399,68.36,1750.1
2026-09-20 14:03:50.747986,0.509,63.89,1740.5
2026-09-20 14:03:51.747986,0.467,66.14,1745.9
2026-09-20 14:03:52.747986,0.543,68.26,1756.9
2026-09-20 14:03:53.747986,0.46,64.24,1751.1
2026-09-20 14:03:54.747986,0.494,64.59,1755.8
2026-09-20 14:03:55.747986,0.525,63.84,1769.8
2026-09-20 14:03:56.747986,0.543,62.97,1734.4
2026-09-20 14:03:57.747986,0.44,63.7,1766.2
2026-09-20 14:03:58.747986,0.483,62.55,1751.0
2026-09-20 14:03:59.747986,0.476,65.07,1741.0
2026-09-20 14:04:00.747986,0.467,63.46,1736.7
2026-09-20 14:04:01.747986,0.588,65.47,1748.1
2026-09-20 14:04:02.747986,0.52,61.89,1759.2
2026-09-20 14:04:03.747986,0.437,65.66,1748.7
2026-09-20 14:04:04.747986,0.546,66.67,1765.1
2026-09-20 14:04:05.747986,0.606,61.01,1735.5
2026-09-20 14:04:06.747986,0.552,65.75,1749.9
2026-09-20 14:04:07.747986,0.424,67.46,1737.5
2026-09-20 14:04:08.747986,0.476,62.58,1753.6
2026-09-20 14:04:09.747986,0.563,68.35,1758.9
2026-09-20 14:04:10.747986,0.465,65.84,1745.8
2026-09-20 14:04:11.747986,0.522,63.59,1724.0
2026-09-20 14:04:12.747986,0.539,64.89,1752.0
2026-09-20 14:04:13.747986,0.454,66.12,1754.4
2026-09-20 14:04:14.747986,0.497,65.15,1754.0
2026-09-20 14:04:15.747986,0.338,66.08,1762.4
2026-09-20 14:04:16.747986,0.449,63.16,1739.3
2026-09-20 14:04:17.747986,0.487,65.34,1756.8
2026-09-20 14:04:18.747986,0.438,62.17,1761.9
2026-09-20 14:04:19.747986,0.582,64.78,1732.2
2026-09-20 14:04:20.747986,0.428,63.19,1753.2
2026-09-20 14:04:21.747986,0.478,63.53,1745.0
2026-09-20 14:04:22.747986,0.507,67.47,1749.2
2026-09-20 14:04:23.747986,0.572,67.18,1753.5
2026-09-20 14:04:24.747986,0.428,66.22,1745.1
2026-09-20 14:04:25.747986,0.558,62.82,1743.2
2026-09-20 14:04:26.747986,0.501,64.37,1750.3
2026-09-20 14:04:27.747986,0.451,67.43,1739.1
2026-09-20 14:04:28.747986,0.523,65.28,1739.1
2026-09-20 14:04:29.747986,0.51,69.64,1756.8
2026-09-20 14:04:30.747986,0.47,65.79,1738.5
2026-09-20 14:04:31.747986,0.503,65.38,1756.7
2026-09-20 14:04:32.747986,0.481,64.38,1754.6
2026-09-20 14:04:33.747986,0.506,65.27,1732.7
2026-09-20 14:04:34.747986,0.533,64.7,1743.2
2026-09-20 14:04:35.747986,0.579,66.42,1761.9
2026-09-20 14:04:36.747986,0.438,66.91,1740.2
2026-09-20 14:04:37.747986,0.607,63.43,1745.4
2026-09-20 14:04:38.747986,0.402,62.34,1754.6
2026-09-20 14:04:39.747986,0.492,61.33,1757.8
2026-09-20 14:04:40.747986,0.529,66.02,1747.5
2026-09-20 14:04:41.747986,0.514,62.79,1744.0
2026-09-20 14:04:42.747986,0.469,60.69,1764.2
2026-09-20 14:04:43.747986,0.49,65.78,1767.4
2026-09-20 14:04:44.747986,0.475,69.99,1759.8
2026-09-20 14:04:45.747986,0.471,64.99,1750.9
2026-09-20 14:04:46.747986,0.542,66.68,1741.9
2026-09-20 14:04:47.747986,0.518,65.16,1741.7
2026-09-20 14:04:48.747986,0.465,64.8,1755.2
2026-09-20 14:04:49.747986,0.545,66.84,1754.2
2026-09-20 14:04:50.747986,0.515,64.42,1764.0
2026-09-20 14:04:51.747986,0.541,65.53,1756.5
2026-09-20 14:04:52.747986,0.531,65.64,1735.0
2026-09-20 14:04:53.747986,0.459,63.66,1760.5
2026-09-20 14:04:54.747986,0.472,66.98,1740.0
2026-09-20 14:04:55.747986,0.537,64.65,1746.2
2026-09-20 14:04:56.747986,0.531,63.49,1752.5
2026-09-20 14:04:57.747986,0.499,66.07,1770.0
2026-09-20 14:04:58.747986,0.506,63.2,1781.1
2026-09-20 14:04:59.747986,0.564,65.06,1756.1
2026-09-20 14:05:00.747986,0.47,64.98,1748.2
2026-09-20 14:05:01.747986,0.527,67.17,1755.3
2026-09-20 14:05:02.747986,0.49,65.95,1758.9
2026-09-20 14:05:03.747986,0.489,64.95,1746.8
2026-09-20 14:05:04.747986,0.555,66.64,1768.0
2026-09-20 14:05:05.747986,0.541,67.78,1752.3
2026-09-20 14:05:06.747986,0.541,66.12,1755.0
2026-09-20 14:05:07.747986,0.565,65.02,1756.7
2026-09-20 14:05:08.747986,0.501,62.38,1754.2
2026-09-20 14:05:09.747986,0.534,62.87,1758.4
2026-09-20 14:05:10.747986,0.484,64.39,1743.8
2026-09-20 14:05:11.747986,0.516,63.78,1744.4
2026-09-20 14:05:12.747986,0.493,64.63,1739.0
2026-09-20 14:05:13.747986,0.505,65.11,1754.4
2026-09-20 14:05:14.747986,0.53,66.06,1757.8
2026-09-20 14:05:15.747986,0.459,64.86,1754.6
2026-09-20 14:05:16.747986,0.605,65.97,1766.7
2026-09-20 14:05:17.747986,0.45,65.13,1749.9
2026-09-20 14:05:18.747986,0.439,61.05,1756.7
2026-09-20 14:05:19.747986,0.558,63.12,1739.1
2026-09-20 14:05:20.747986,0.54,64.71,1746.1
2026-09-20 14:05:21.747986,0.531,62.58,1757.0
2026-09-20 14:05:22.747986,0.531,66.2,1758.5
2026-09-20 14:05:23.747986,0.499,68.06,1747.1
2026-09-20 14:05:24.747986,0.455,67.44,1749.3
2026-09-20 14:05:25.747986,0.504,64.57,1734.8
2026-09-20 14:05:26.747986,0.466,67.98,1746.4
2026-09-20 14:05:27.747986,0.549,65.3,1758.9
2026-09-20 14:05:28.747986,0.493,64.33,1755.8
2026-09-20 14:05:29.747986,0.459,63.77,1755.0
2026-09-20 14:05:30.747986,0.484,64.4,1750.5
2026-09-20 14:05:31.747986,0.521,64.22,1750.1
2026-09-20 14:05:32.747986,0.472,65.34,1743.4
2026-09-20 14:05:33.747986,0.459,65.32,1757.0
2026-09-20 14:05:34.747986,0.512,65.01,1754.2
2026-09-20 14:05:35.747986,0.512,65.87,1754.9
2026-09-20 14:05:36.747986,0.475,67.38,1744.7
2026-09-20 14:05:37.747986,0.476,66.9,1728.5
2026-09-20 14:05:38.747986,0.512,62.03,1761.0
2026-09-20 14:05:39.747986,0.428,59.89,1745.2
2026-09-20 14:05:40.747986,0.43,66.87,1741.4
2026-09-20 14:05:41.747986,0.464,62.27,1756.9
2026-09-20 14:05:42.747986,0.489,64.55,1746.1
2026-09-20 14:05:43.747986,0.516,62.66,1760.6
2026-09-20 14:05:44.747986,0.574,61.4,1756.2
2026-09-20 14:05:45.747986,0.543,66.08,1756.8
2026-09-20 14:05:46.747986,0.492,66.52,1736.3
2026-09-20 14:05:47.747986,0.499,63.85,1762.1
